,Origin Station Name
2,Balham LU
73,Balham NR
3,Bank and Monument
90,Bethnal Green LO
4,Bethnal Green LU
5,Blackfriars LU
64,Blackfriars NR
36,Brixton LU
63,Brixton NR
49,Caledonian Road & Barnsbury
40,Canary Wharf DLR
41,Canary Wharf LU
6,Cannon Street LU
65,Cannon Street NR
7,Chalfont & Latimer
26,Charing Cross LU
66,Charing Cross NR
42,Crossharbour
45,Cutty Sark
8,Earl's Court
75,Earlswood
33,Edgware Road (Bak)
9,Edgware Road (DIS)
10,Elephant & Castle LU
68,Elephant & Castle NR
55,Elstree & Borehamwood
11,Euston LU
50,Euston NR
51,Finchley Road & Frognal
12,Finsbury Park LU
84,Finsbury Park NR
76,Gatwick Airport
96,Grays
13,Hammersmith (DIS)
32,Hammersmith (H&C)
14,Harrow & Wealdstone
58,Hayes & Harlington
59,Hayes (Kent)
93,Heathrow Terminal 4 EL
38,Heathrow Terminal 4 LU
39,Heathrow Terminal 5 LU
37,Heathrow Terminals 123 LU
92,Heathrow Terminals 2 & 3 EL
85,Hertford East
15,Highbury & Islington
70,Horley
16,King's Cross St. Pancras
46,Lewisham DLR
60,Lewisham NR
44,Limehouse DLR
98,Limehouse NR
17,Liverpool Street LU
91,Liverpool Street NR
18,London Bridge LU
67,London Bridge NR
19,Marylebone LU
52,Marylebone NR
78,Merstham
57,Paddington NR
20,Paddington TfL
21,Queen's Park
80,Queenstown Road (Battersea)
97,Rainham (Essex)
79,Redhill
22,Regent's Park
86,Rye House
71,Salfords
43,Shadwell DLR
47,Shadwell LO
25,Shepherd's Bush LU
34,Shepherd's Bush Market
99,Shepherd's Bush NR
87,St Margarets (Hertfordshire)
69,St. Helier
61,St. John's
23,St. John's Wood
83,St. Margaret's (Greater London)
62,St. Mary Cray
56,St. Pancras International
24,St. Paul's
1,Stratford International DLR
94,Stratford International NR
53,Sudbury & Harrow Road
72,Sutton (Surrey)
27,Tottenham Hale LU
89,Tottenham Hale NR
28,Totteridge & Whetstone
35,Vauxhall LU
81,Vauxhall NR
29,Victoria LU
77,Victoria NR
95,Walthamstow Queen's Road
88,Ware
30,Waterloo LU
82,Waterloo NR
74,West Croydon NR
54,West Hampstead LO
31,West Hampstead LU
48,West Hampstead NR
